name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,r1_3_1,r1_3_2,r1_3_3,r1_3_4,r1_3_5,r1_4_1,r1_4_2,r1_4_3,r1_4_4,r1_5_1,r1_5_2,r1_5_3,r1_5_4,r1_5_5,r1_6_1,r1_6_2,r1_6_3,r1_6_4,r1_6_5
A2m,38.28735,38.00864,37.90561,37.95139,37.93006,37.99449,38.11012,38.61541,38.16872,38.05854,37.09152,36.89859,36.9088,36.92968,37.01203,37.89001,38.64158,37.98953,38.00211,37.80622,37.7935,37.67122,37.702,37.71338,37.72986,37.54272,37.42561,37.49093,37.52773
Apoh,30.37223,30.09182,30.12288,29.41774,29.52809,30.48232,30.49286,30.88409,30.58109,30.24785,30.4007,30.56466,30.6254,30.55371,30.49791,30.58388,31.49071,30.73771,30.5122,30.49715,30.4564,30.54793,30.45679,30.50711,30.34032,30.09899,30.15955,30.24207,30.14819
Serpinf1,26.92048,26.54813,25.45453,25.41503,26.09911,27.80888,25.83557,25.92994,25.92633,26.94257,25.06768,22.70625,22.66491,24.10725,24.09965,25.858,27.60003,27.01446,26.24402,25.07871,25.58938,24.90812,24.44891,25.10969,25.14977,25.22232,24.76946,24.14126,24.89546
Cfp,29.8859,29.92181,29.86558,30.91471,29.75113,30.66068,31.10936,28.44095,30.78714,30.98536,29.81783,30.22849,31.16728,30.92705,30.90182,30.86983,30.96959,30.57948,30.80147,30.34477,30.88088,31.17236,31.18122,30.77572,30.72037,31.30427,31.04746,30.62471,30.84588
Col1a1,26.10085,24.94311,25.08995,23.41142,25.06919,22.77325,23.25516,24.61425,22.51395,24.48867,20.06483,24.59098,24.73892,24.44266,22.55462,21.84465,22.39601,22.31107,22.37185,25.01389,25.24078,25.13645,25.39728,25.47153,25.17032,25.23381,25.4073,25.18295,25.4095
Pon1,27.65533,27.10689,27.0476,27.43285,27.35085,28.66959,28.73134,29.15081,28.01244,28.44221,25.41371,27.13995,27.19892,27.59235,27.52343,27.78419,27.82037,27.85007,27.44372,27.47073,27.83358,27.96008,27.8273,27.94123,27.68392,27.48808,27.70002,27.21521,27.06692
Apoc4,24.71461,24.55104,24.96089,23.22744,23.88241,24.59685,25.04331,25.49439,25.08298,24.75537,26.08286,25.56755,26.03842,25.55783,25.9766,24.32368,24.79382,24.77394,24.59736,25.84843,25.80813,25.63223,26.07133,26.04352,26.1663,26.08115,25.62547,25.68875,25.29063
Prdx2,25.99529,25.43905,24.88367,26.50854,20.80877,26.47393,26.69578,26.13886,27.50877,26.47314,20.94139,25.96849,23.15036,25.20172,25.19035,26.88972,26.43627,26.00312,26.31921,27.79476,26.68819,27.15228,27.01137,27.49541,27.14521,26.33751,26.58649,26.30262,26.75468
Apoa2,25.39284,26.66519,26.13843,26.04768,26.61484,30.12952,29.44128,28.22995,28.52365,28.772,31.54342,31.62606,32.00624,32.39854,31.87335,28.49705,25.23052,29.71807,29.62723,29.08048,30.2923,29.66866,30.73618,30.73279,30.9194,31.4115,31.41503,31.89363,31.42492
Itih3,28.89195,28.42045,28.60148,28.52869,28.48911,27.92048,28.15103,28.76575,28.1517,28.24921,28.83587,28.40592,28.69272,28.84536,28.90423,28.76595,29.26372,28.93781,28.6216,28.57928,28.88215,29.27075,28.92773,28.88486,27.44648,27.67694,27.4251,27.90902,27.70372
Itih4,32.18136,31.75422,31.88191,31.54972,31.72334,31.34117,31.3931,32.10684,31.47822,31.58786,32.1034,32.20137,32.23683,32.11849,32.05743,31.94189,32.74447,31.9573,32.09839,31.74005,31.61658,31.55326,31.64787,31.79715,31.0397,30.9674,30.71424,30.59557,30.93537
Saa4,26.39098,26.08659,25.89312,26.32265,26.11237,26.13261,27.03779,27.54053,26.62087,26.71398,28.28034,28.23904,28.23635,28.58057,28.13936,26.158,26.60456,26.45651,26.15356,25.22092,26.38851,25.18162,25.38199,25.23531,25.34384,25.31569,25.28044,25.46145,25.62187
Plg,34.97857,34.88272,34.8409,34.89681,34.88867,34.509,34.75628,34.73651,34.77245,34.66135,35.02705,35.01313,34.99374,35.00148,34.9677,34.51835,35.1304,34.63688,34.66644,34.78668,34.86341,34.69706,34.83017,34.88803,35.03543,34.99673,34.98838,35.01226,35.04661
Hspa8,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,23.15618,22.85986,24.96455,22.94887,23.63356,26.18452,18.67356,24.55754,24.98294,24.03179,24.08537,25.58887,23.6825,24.3345,24.33926,24.0035,25.1731,25.71025,24.26807
Cd5l,31.99203,32.35828,32.28893,32.0037,32.47269,32.33626,32.5852,31.88169,32.52753,32.79996,31.5319,31.6477,31.61667,31.4179,31.3871,31.86865,29.54185,31.80105,31.47856,32.02274,31.90369,31.87774,31.92861,32.07849,31.92018,31.74719,31.90996,32.09043,31.91299
Vtn,30.36557,29.57407,29.86909,29.93115,29.5995,29.99389,29.99415,30.91784,30.05943,30.09899,30.92755,30.87196,31.36192,31.23489,31.07202,30.5185,30.91142,30.46217,30.52813,30.46801,30.59602,30.29329,30.63253,30.56819,30.41448,30.44717,30.21535,30.24853,30.22734
Egfr,29.89644,29.51587,29.82483,29.17931,29.2826,29.98983,30.1795,30.77886,30.12349,29.9428,29.72975,29.65282,29.45057,29.4641,29.45413,29.76303,30.41377,29.57308,30.05853,29.08258,29.14623,28.55322,28.85807,28.92521,29.27315,29.0653,29.16761,28.7377,29.27402
Serpina3n,25.52815,24.9162,25.01776,25.31257,25.11629,24.98124,24.42554,25.61734,25.27437,24.85776,27.93315,28.07337,28.04411,28.28251,27.98512,26.87056,28.05946,27.48876,27.09043,26.13138,25.62324,24.934,25.41083,25.31672,25.95258,25.63553,25.3695,25.66234,25.9183
Gpld1,30.05504,30.35311,30.39213,30.04583,29.90813,30.68537,31.06162,30.8589,30.97357,30.82214,29.49163,28.87109,29.23863,29.15902,28.88806,30.61772,31.56996,30.49581,30.49352,29.80752,29.89659,29.72394,29.85784,30.02644,29.57165,29.48456,29.54254,29.03753,29.68036
F12,28.27706,27.96014,28.62961,27.92122,28.05383,27.97607,28.39239,28.88346,28.4852,28.4746,28.82651,28.77696,28.45732,28.55238,29.13186,28.3986,29.40511,28.53749,28.70253,28.69988,28.80495,28.50805,28.75389,28.60481,28.58982,28.5721,28.44466,28.3229,28.64863
Cpb2,24.43052,23.78736,25.41203,24.11362,25.19069,23.70757,24.12526,25.23994,23.62176,23.47741,24.28771,24.8189,24.46812,23.98494,23.93355,23.84719,25.44361,24.40458,24.18435,25.05379,23.39401,25.18982,23.92597,24.67842,24.46413,24.57467,23.48001,23.92152,24.68094
Clu,30.88081,30.44144,30.46791,30.39243,30.42031,30.56629,30.84857,31.51018,31.23118,31.07246,31.69847,31.60867,31.84022,31.38072,31.60885,30.36181,31.23535,30.50711,30.40091,30.84946,30.492,30.9267,30.98963,30.94231,31.13038,30.88809,30.88838,31.08512,31.16543
C9,29.61045,29.24642,29.28531,29.33191,29.26403,28.4773,28.91094,29.37805,28.81961,28.61045,28.44943,28.10849,28.32492,28.37778,28.23288,28.57665,29.22901,28.53816,28.7643,27.61147,27.44087,27.58592,27.43674,27.59377,28.04276,27.98212,27.89856,28.01563,28.01041
