name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
A2m,2.665647787,2.676142526,2.640282603,2.713593332,2.664696328,2.655982322,2.668201441,2.641573584,2.673954568,2.60658093,-0.055647858
Apoh,0.619633088,0.560680757,0.57070637,0.4071834,0.459712235,0.645017788,0.595736796,0.685787394,0.657879369,0.550229088,0.349113022
Serpinf1,-0.272625176,-0.386232362,-0.670696867,-0.674638575,-0.440177476,-0.070646663,-0.671394543,-0.567460195,-0.578916073,-0.319965301,0.146055985
Cfp,0.493919476,0.515252207,0.502285396,0.811773051,0.518246085,0.69276373,0.763470923,0.067748111,0.712627992,0.744396319,0.08216785
Col1a1,-0.484494994,-0.815111438,-0.767645637,-1.216159027,-0.710466137,-1.418655738,-1.37345913,-0.900289302,-1.485604286,-0.966013446,-1.439488001
Pon1,-0.08267052,-0.236925516,-0.247069192,-0.129277553,-0.111675138,0.159760434,0.116471559,0.24732086,-0.024625124,0.074850967,0.924560245
Apoc4,-0.842830359,-0.919876874,-0.801965151,-1.26588374,-1.021920596,-0.930488548,-0.88694854,-0.67764095,-0.802998826,-0.895798262,0.434095813
Prdx2,-0.511781669,-0.682590791,-0.82249942,-0.37909302,-1.828556101,-0.42800507,-0.437353062,-0.51460986,-0.158453024,-0.443554029,1.497334643
Apoa2,-0.667511659,-0.354952636,-0.488834823,-0.503650751,-0.30483107,0.550575265,0.309628357,0.0143716,0.111206197,0.16167611,2.306824605
Itih3,0.236988904,0.114072228,0.166137114,0.166897737,0.187045899,-0.040771988,-0.04141618,0.149912522,0.012377028,0.024039079,-0.507491458
Itih4,1.087283177,1.004892403,1.038465971,0.983398718,1.03582609,0.874926974,0.840669432,0.99510554,0.896251765,0.903018923,-0.417369705
Saa4,-0.409497995,-0.509560949,-0.554067427,-0.429333954,-0.436697568,-0.519374464,-0.344300753,-0.160030457,-0.394372959,-0.380147112,0.364061768
Plg,1.810346476,1.840862167,1.825317806,1.888024712,1.866524403,1.722936774,1.755706026,1.660331176,1.771546871,1.712189024,-0.394178127
Hspa8,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.214617972,-0.341038576,-1.293818379,-0.722290773,-0.267744897,0.475550229
Cd5l,1.03834242,1.166303909,1.146700346,1.106096975,1.232482926,1.141306821,1.165009826,0.938149514,1.175059227,1.222133376,-0.029011461
Vtn,0.617911515,0.422332237,0.503218772,0.545943945,0.478452829,0.514267897,0.460050363,0.694325106,0.519271426,0.511038116,0.096399367
Egfr,0.496644008,0.406780554,0.491449194,0.342742355,0.395286684,0.513181059,0.510479431,0.659167441,0.536292521,0.469917345,0.377374667
Serpina3n,-0.632534773,-0.822302087,-0.786842334,-0.702330684,-0.698105375,-0.827589564,-1.055028202,-0.646538381,-0.752145446,-0.868841634,-0.338114146
Gpld1,0.537641229,0.630500332,0.642305076,0.576938782,0.559448625,0.699373101,0.750482071,0.679415099,0.762163473,0.701424732,0.436012545
F12,0.078043243,-0.00892769,0.173617417,0.002715372,0.072812514,-0.025890866,0.024251799,0.179689532,0.10098982,0.083378413,0.033675404
Cpb2,-0.916266051,-1.123940607,-0.681998427,-1.026373759,-0.678580095,-1.168543669,-1.136726829,-0.742008974,-1.19125305,-1.232251942,-0.696297547
Clu,0.751098203,0.654103084,0.662456422,0.67061519,0.693863381,0.667496072,0.69251653,0.844168909,0.830611872,0.767327487,0.255542918
